Artist	Signal	Category	Official Site	Bandcamp	Overview & Niche	USA Touring	Most Recent Release	Status	Source
Lance Lopez	Gnoosic ⭐ notable (ex.4)	Texas Blues-Rock	https://www.lancelopezguitarist.com	https://lancelopez.bandcamp.com	"Shreveport-born Texas blues-rock guitarist. Professional since age 14. Toured with Johnnie Taylor (Chitlin Circuit), Lucky Peterson (worldwide), Buddy Miles (mentor/co-producer). Close friendship with Johnny Winter (taught slide guitar) and Billy Gibbons. Jeff Beck: ""a very exciting and intense blues guitarist."" Part of supergroup Supersonic Blues Machine. European Comeback Tour Fall 2024. New band Two Wolf (blues-rock/southern rock) debut album June 2025 via Cleopatra Records. Nashville-based. Active touring USA and Europe."	Yes — actively touring USA and Europe	Two Wolf debut (June 2025, Cleopatra Records); live album recorded Montreux 2025 pending release	active	
Garret T. Willie	Added by Dan	Blues-Rock / Indigenous Blues	https://garretwillie.com	https://garrettwillie.bandcamp.com	25-year-old Indigenous Canadian guitarist and vocalist from Alert Bay, BC. Gravel-soaked baritone; AC/DC-meets-Texas-blues guitar style. Debut Same Pain (2023) — Top 20 UK Blues Albums chart, Top 20 US Roots Music Blues Rock chart, BBC Radio 2 airplay, two Western Canadian Music Award nominations. Second album Bill's Café (Feb 2026) produced by Grammy-winner Tom Hambridge (Buddy Guy, Kingfish, Susan Tedeschi); Gulf Coast Records/Mike Zito. Opened for Kenny Wayne Shepherd, John Fogerty, Kingfish, Joe Bonamassa. Joe Bonamassa Blues Cruise performer. Exclaim! 2026 Most Anticipated Albums. Kingfish connection via producer and touring is notable.	Yes — Canada and USA touring; 2026 tour underway	Bill's Café (Feb 2026, Gulf Coast Records)	active	
The Record Company	KTBA Alaska 2025 / BIT DC recommends Aug 17 2026 Rams Head	Blues-Rock	https://www.therecordcompany.net	https://therecordcompany.bandcamp.com	Los Angeles blues-rock trio. Raw, stripped-down blues-rock — slide guitar, upright bass, drums. Self-released debut All Of This Life (2016) went Top 10 on Americana chart. Atlantic Records deal followed. Known for energetic live shows. Slower release cadence recently but actively touring.	Yes — USA touring; confirmed Rams Head On Stage Aug 17 2026	Play Loud (2022)	active	
The Cold Stares	KTBA Alaska 2025	Blues-Rock	https://www.thecoldstares.com	https://thecoldstares.bandcamp.com	Tennessee two-piece blues-rock duo: Chris Tapp (vocals/guitar) and Brian Mullins (drums). Raw, loud, and minimal — a power-duo in the Jack White/Black Keys tradition. Relentlessly touring artists. Multiple albums on Mascot Records. Strong live reputation.	Yes — heavily touring USA	Heavy (2022); Sixes (2023)	active	
The Bros. Landreth	BIT DC recommends Sep 26 2026 Jammin' Java	Roots-Rock / Folk-Rock / Americana	https://www.thebroslandreth.com	—	Winnipeg brothers Joey and Dave Landreth. Two-time JUNO Award winners. Grammy-winning songwriters — Bonnie Raitt covered their song Made Up Mind, winning Grammy for Americana Performance of the Year 2023. Guitar-driven, soulful blood-harmony roots music. New album Dog Ear (Nov 2025) features two Bonnie Raitt collaborations. NOTE: Ariel Posen is a former touring member but is now a separate solo act.	Yes — tours USA and Canada; confirmed Jammin' Java Sep 26 2026	Dog Ear (Nov 2025)	active	
Ronnie Baker Brooks	BMA 2025 winner — Contemporary Blues Male + Album	Electric Blues / Chicago Blues	https://www.ronniebakerbrownsmusic.com	—	Chicago blues guitarist and vocalist. Son of Lonnie Brooks. Grammy-nominated. Multiple BMA wins in 2025 including Contemporary Blues Album winner for Blues In My DNA. Deep Chicago blues tradition with contemporary energy. Active USA touring.	Yes — actively touring USA	Blues In My DNA (2024)	active	
Piper & The Hard Times	BMA 2025 Best Emerging Artist winner	Contemporary Blues	—	—	BMA 2025 Best Emerging Artist winner. Contemporary blues band. Limited online presence identified — worth investigating further. Signal: BMA nomination process is highly curated; emerging artist winners represent strong practitioner consensus.	Unknown — limited info found	Revelation (2024, BMA winner)	promoted to follows_master 2026-07-03	
Jovin Webb	BMA 2025 Best Emerging Artist nominee	Contemporary Blues / Soul	https://www.jovinwebb.com	—	Louisiana-born singer-songwriter and guitarist. Contemporary blues and soul with strong Southern roots. BMA Best Emerging Artist nominee 2025. Active USA touring.	Yes — tours USA	Go Be Free (2024)	active	
Jerron Paxton	BMA 2025 Acoustic Album nominee / KTBA Alaska 2025	Pre-War Blues / Ragtime / Old-Time	https://www.jerronpaxton.com	—	"New York-based multi-instrumentalist — guitar, banjo, fiddle, piano, harmonica. Specializes in pre-war blues, ragtime, gospel, and jazz. Known as ""Blind Boy Paxton."" Extraordinary range and historical depth. BMA Acoustic Album nominee 2025 for Things Done Changed. Featured on KTBA Alaska 2025. Active USA touring."	Yes — actively touring USA	Things Done Changed (2024, BMA Acoustic Album nominee)	active	
Reverend Peyton's Big Damn Band	KTBA XI 2026 / Playing local — Rams Head On Stage Apr 29 2026 (passed; preferred seats gone, weeknight, pricier than usual — watch for return visit)	Country Blues / Roots / Blues-Rock	https://www.reverendpeytonsbigdamnband.com	https://reverendpeytonsbigdamnband.bandcamp.com	"Indiana three-piece led by guitarist/vocalist Josh ""Rev"" Peyton. Raw, high-energy country blues — slide guitar, washboard, drums. Self-described ""dirt blues."" Active touring machine; over 200 shows per year historically. Fiercely independent. Multiple albums on Side One Dummy Records. Known for intense DIY live presence."	Yes — heavily touring USA	Dance Songs For Hard Times (2021); Father, Son & The Dirty Midnights (upcoming)	active	
The Cinelli Brothers	KTBA XI 2026	Blues-Rock / Rhythm & Blues	https://www.thecinellibrothers.com	https://thecinellibrothers.bandcamp.com	Italian-British brothers (Marco and Max Cinelli) based in London. Blues-rock and vintage R&B. Extensive touring across Europe and USA including festival circuit appearances. Known for tight ensemble playing and old-school roots sound. Multiple albums.	Yes — tours USA; primarily European-based	One Way Ride (2023)	active	
DeWolff	KTBA XII 2027 early announce	Blues-Rock / Psychedelic Rock / Roots	https://www.dewolffmusic.com	https://dewolff.bandcamp.com	Dutch blues-rock trio. Organ-driven vintage sound — draws from 1960s/70s blues-rock, gospel, and psychedelia. Major festival act in Europe; growing USA presence. Prolific: 10+ albums. Signed to Continental Records. Pablo van de Poel is a standout guitarist. NOTE: primarily European-based but KTBA booking signals USA push.	Growing — primarily European; KTBA 2027 signals expanding USA dates	Tascam Tapes (2022); Wolffpack (2024)	active	
Hannah Cohen	Bandcamp collection	Indie Folk / Singer-Songwriter	—	—	In Bandcamp collection. Research needed to assess live profile and fit.	Unknown	Unknown	active	
Jon Wilks	Bandcamp collection	British Folk / Fingerstyle Guitar	—	—	In Bandcamp collection. British folk guitarist. Research needed to assess USA touring and fit.	Unknown — primarily UK	Unknown	active	
Josh Okeefe	Bandcamp wishlist	Roots / Folk	—	—	On Bandcamp wishlist. Research needed.	Unknown	Unknown	active	
The California Honeydrops	Bandcamp wishlist	Blues / Soul / Funk	—	—	Oakland blues-soul-funk band. On Bandcamp wishlist. Worth researching for fit and USA touring profile.	Yes — USA touring	Unknown	active	
Dale Ann Bradley	Bandcamp wishlist	Bluegrass / Traditional Country	—	—	Kentucky bluegrass and traditional country vocalist. Multiple IBMA awards. On Bandcamp wishlist. Worth researching for fit.	Yes — USA touring	Unknown	active	
Quinn Sullivan	Hub City Vinyl 2026 calendar (Apr 23)	Blues-Rock	https://quinnsullivanmusic.com	—	Boston-born blues-rock guitarist, born 2000. Buddy Guy protégé — discovered at age 7, has toured and recorded with Guy since. Multiple albums on Provogue/Mascot Records. High-energy Stevie Ray Vaughan-influenced electric blues-rock. Young artist with strong technical foundation and deep blues mentorship. Actively touring USA.	Yes — actively touring USA	Salvation (2023, Provogue/Mascot)	active	
Indigenous ft. Mato Nanji	Hub City Vinyl 2026 calendar (May 17)	Native American Blues-Rock	https://www.indigenousmusic.com	—	Yankton Sioux Native American blues-rock band from South Dakota led by guitarist Mato Nanji. Grammy-nominated (Best Contemporary Blues Album, 2000 for Things We Do). Raw, high-energy electric blues-rock rooted in Native American identity. Multiple albums since 1990s. Mato Nanji is the primary creative force; lineup has evolved over the years. Active USA touring.	Yes — actively touring USA	Hoka Hey (2019); occasional new releases	active	
Davy Knowles	Hub City Vinyl 2026 calendar (Sep 17)	Blues-Rock	https://www.davyknowles.com	—	Isle of Man guitarist based in Chicago. Backed Peter Green's Splinter Group (founder of Fleetwood Mac). Releases on Provogue Records. Warm, melodic blues-rock approach — less pyrotechnic than some peers, more songwriting-focused. Known for slide and fingerpicking. Multiple albums. Active USA touring from Chicago base.	Yes — USA touring from Chicago base	Influence (2022, Provogue)	active	
Matt Schofield	Hub City Vinyl 2026 calendar (Aug 13)	British Blues-Rock	https://www.mattschofield.com	—	British blues-rock guitarist from Manchester, based in USA. Multiple British Blues Awards including Guitar of the Year. Described by Guitar Player as one of the most important guitarists of his generation. Rich, warm tone; sophisticated harmonic approach — influenced by Robben Ford and Larry Carlton as much as traditional blues. Multiple albums on Provogue Records. Based in USA (Nashville area); active national touring.	Yes — USA touring from Nashville base	Heads, Tails & Aces (2014); occasional live releases; new studio material expected	active	
Toronzo Cannon	Springing the Blues 2026 (Jacksonville Beach, FL festival lineup)	Chicago Electric Blues / Contemporary Blues	https://toronzocannon.com	—	"Chicago-born electric blues guitarist, vocalist, and songwriter (b. 1968). Grew up on Chicago's South Side near Theresa's Lounge; absorbed Buddy Guy and Junior Wells as a child. Gigged as sideman (Joanna Connor, Wayne Baker Brooks) before going full-time as bandleader in 2003. Three albums on Alligator Records: The Chicago Way (2016, #1 Blues Album of 2016), The Preacher, The Politician Or The Pimp (2019, #2 Blues Album of 2019), Shut Up And Play! (2022). 10 BMA nominations. Headlined Chicago Blues Festival. Toured USA, Canada, UK, Europe, Japan. Praised by Gary Clark Jr. (""Toronzo is a beast"") and Joe Bonamassa (""great guitar player, excellent vocalist, amazing personality""). Known for slice-of-life original songwriting and muscular, rock-informed guitar. Notable: drove a Chicago Transit Authority bus while building his career — now fully music-focused."	Yes — actively touring USA and internationally	Shut Up And Play! (2022, Alligator Records)	active	
Melody Angel	Spotify playlist / Chicago Blues Festival headliner (3x) / Big Blues Bender	Electric Blues / Blues-Rock / Soul	https://melodyangelmusic.com	—	"South Side Chicago electric blues guitarist, vocalist, and songwriter. Relative of Chicago blues legend Otis Rush. Plays the purple Fender Stratocaster her mother bought at a pawnshop — still her main guitar. Chicago Reader ""The Future of the Blues."" Big Blues Bender performer (discovery source). 3x Chicago Blues Festival headliner. Self-produced albums She Black (2021) and Foxy (2022). Plays Chicago blues/rock/funk hybrid; electrified, socially conscious songwriting. Influences: Prince, Jimi Hendrix, Slash, Sister Rosetta Tharpe. Female artist — hat signing eligible. Not in either autograph book. NOTE: primarily Chicago-based; national touring presence but no recent DC-area shows found."	Yes — national touring; festival circuit	Foxy (2022)	active	
Charly Lowry	Spotify playlist / hat autograph (existing)	Folk / Soul / Indigenous Roots	https://charlylowry.com	—	"Lumbee-Tuscarora singer-songwriter from Pembroke, NC. Acoustic and electric guitar plus Native American hand drum. American Idol semi-finalist (Season 3). Frontwoman for Dark Water Rising. Genres: folk, soul, country, R&B, gospel, Indigenous contemporary. Rhiannon Giddens: ""What a voice, what heart, what soul."" Performer of the Year NC Arts Council. 2021–22 US State Dept. American Music Abroad participant. Activist — ""artivist"" — for Indigenous visibility. Already in autograph books (hat signed). NOTE: genre is folk/Americana-adjacent, less blues-forward than core profile; medium priority."	Yes — USA touring; festival appearances	Dark Water Rising (ongoing); solo debut album in progress	active	
Kyshona	Spotify playlist / collaborators include Ruthie Foster and Keb' Mo'	Roots / Folk / R&B / Soul	https://kyshona.com	—	Nashville-based singer-songwriter (born Kyshona Armstrong), former licensed music therapist. Album Legacy (2024) features Ruthie Foster and Keb' Mo' — strong adjacency signal. Roots/rock/R&B/folk blend; mission-driven songwriting about community, healing, and social justice. Gospel quartet roots from South Carolina. Founder of Your Song nonprofit therapeutic songwriting program. American Songwriter Top 25 Songs 2022. Active USA touring including Europe. NOTE: genre is folk/Americana-adjacent; medium priority.	Yes — actively touring USA and Europe	Legacy (2024)	active	
Devon Allman	setlist — Devon Allman Project, Hamilton Live 2026-06-14	Blues-Rock / Southern Rock			Headliner of the Devon Allman Project (Blues Summit Tour) — skipped show at The Hamilton Live, DC, 2026-06-14. Allman Betts Band / Devon Allman Project. Established artist, untracked in repo.			pending-review	setlist.fm — Devon Allman Project, Hamilton Live 2026-06-14
Jimmy Hall	setlist — Devon Allman Project, Hamilton Live 2026-06-14	Southern Rock / Blues			Performed with the Devon Allman Project at The Hamilton Live, DC, 2026-06-14 (skipped show). Wet Willie frontman (confirmed via 'Keep On Smilin'' cover); former Jeff Beck Band vocalist/harmonica. Established artist, untracked in repo.			pending-review	setlist.fm — Devon Allman Project, Hamilton Live 2026-06-14
Laka Soul	setlist — Devon Allman Project, Hamilton Live 2026-06-14	Soul / Blues (vocalist)			Vocalist with the Devon Allman Project at The Hamilton Live, DC, 2026-06-14 (skipped show); featured on multiple songs. Untracked — genuinely new (present in the DC cast in place of Sierra Green, who was in the tour slug but did not play DC).			pending-review	setlist.fm — Devon Allman Project, Hamilton Live 2026-06-14
Mr. Sipp	BMA 2026 Entertainer of the Year + Contemporary Male nominee; Tampa Bay 2027 + LRBC #45	Contemporary Blues / Gospel-Soul	https://www.mrsipp.net	—	Castro Coleman, McComb MS. 2014 IBC Band winner + Gibson guitarist award; 2025 BB King Entertainer WINNER; 2024 Grammy winner (Count Basie Orchestra, Basie Swings The Blues); Malaco artist; played young B.B. King in Sun Records (CMT). High-energy 'Total Package' showman.	Heavy US festival/theater circuit	The Soul Side of Sipp (2023, Grammy-nominated)	active	Quarterly research 2026-07-03 (BMA 2026 / IBC / festival-cruise lineups)
Derrick Dove & The Peacekeepers	2026 IBC Band WINNER + Best Guitarist (band); Telluride B&B 2026	Southern Blues-Rock / Soul	https://derrickdove.com	—	Tifton GA Southern-fried blues rock; shared stages w/ ZZ Top, Blackberry Smoke, Jimmie Vaughan; iTunes blues chart #1s; 'When Did I Get Old' 15M+ streams; new album on the horizon.	Southeast-based, expanding nationally post-IBC (Blues Cruise + festival bookings from win)	Burn It Down (2025); Georgia Peach single (2026)	active	Quarterly research 2026-07-03 (BMA 2026 / IBC / festival-cruise lineups)
Kashus Culpepper	Americana 2026 Emerging Act-class nominee; Telluride B&B 2026	Southern Soul / Country-Blues / Americana	https://kashusculpepper.com	—	Alexander City AL; Navy vet, ex-firefighter; Big Loud Records; Elton John: 'if Bill Withers made country music'; debut recorded at Muscle Shoals w/ Brian Elmquist (Lone Bellow) producing; guests Marcus King + Sierra Ferrell; #1 Americana radio single (Believe).	2026 headline run (NYC/Boston/Nashville) + Eric Church support dates	Act I (2026-01-23, Big Loud) + Act I: Summer Nights addendum	active	Quarterly research 2026-07-03 (BMA 2026 / IBC / festival-cruise lineups)
Sugar Harp	Joe Murphy recommendation (standing); Telluride B&B 2026 Music Maker Foundation set	Traditional Blues / Harmonica	https://www.musicmaker.org/artist/charles-sugar-harp-burroughs/	https://musicmaker.bandcamp.com/album/sugar-harp-sugar-is-my-name	Charles 'Sugar Harp' Burroughs, Birmingham AL, 70s. 'Down in the gutter, back alley, storytelling blues' — bawdy, clever originals; Music Maker Foundation roster w/ Ardie Dean + Microwave Dave. First recorded at ~65.	Sparse; Music Maker Revue slots + festivals (Telluride 2021 + 2026)	Sugar Is My Name (2022, Music Maker — debut)	active	Quarterly research 2026-07-03 (BMA 2026 / IBC / festival-cruise lineups)
Jade MacRae	KTBA Alaska 2026 (73% curation hit-rate lineup); BB King Blues Summit 100 reference (w/ Dannielle De Andrea)	Soul / R&B (vocalist)	https://www.jademacraemusic.com	—	Australian soul vocalist (London-born); longtime Joe Bonamassa touring/studio backing vocalist; 4th solo album self-released; Echoes Magazine Soul Album of the Month; now US-based (Oregon). Female — hat eligible.	Bonamassa tour legs + KTBA cruises; occasional solo US/UK dates	In My Veins (Aug 2024)	active	Quarterly research 2026-07-03 (BMA 2026 / IBC / festival-cruise lineups)
Josh Hoyer & Soul Colossal	2025 IBC Band WINNER; Telluride B&B + Bender 2026 + LRBC bookings	Soul / Funk / R&B (horns)	https://www.joshhoyer.com	—	Lincoln NE soul outfit since 2012; horns-as-structure (trumpet + sax); Green Light won IBC Best Self-Produced Album 2022; The Voice alum; opened for George Clinton, Charles Bradley, Booker T. Pattern fit: horn-driven soul revue.	125+ shows/yr US + Europe; IBC-win festival circuit 2025-26	Green Light (2022); next album being shopped	active	Quarterly research 2026-07-03 (BMA 2026 / IBC / festival-cruise lineups)
Weary Ramblers	2026 IBC Solo/Duo WINNER + Best Solo/Duo Guitarist (Chad Elliott); Bender 2026	Americana / Acoustic Blues / Folk duo	https://www.wearyramblers.com	—	Des Moines IA duo: Chad Elliott (guitar, 1500+ songs, Iowa Rock'n'Roll HOF) + Kathryn Severing Fox (fiddle/mandolin/viola, DownBeat winner). Tight harmonies, story-driven; NPR Live Sessions; Sam Bush guests on Driftwood. Birchmere-shaped act.	Midwest base; IBC-win bookings (Blues Cruise, Bender, festivals)	Driftwood (Oct 2025)	active	Quarterly research 2026-07-03 (BMA 2026 / IBC / festival-cruise lineups)
J.T. Lauritsen & The Buckshot Hunters	BMA 2026 International Blues Album WINNER (Still Be Friends); Tampa Bay 2027	Blue-Eyed Soul / Blues (accordion + harmonica + B3)	https://www.jtlauritsen.com	—	Lillestrøm, Norway; 30-yr band, 10 albums; 2015 European Blues Challenge 3rd, 2017 IBC semifinalist; Still Be Friends guests incl. Kid Andersen, Delbert McClinton, Curtis Salgado, JW Jones. Squeezebox-fronted soul revue.	Rare US dates — cruise/festival bookings (Tampa 2027) are the realistic catch	Still Be Friends (2025, Hunter Records — 30th anniversary album)	active	Quarterly research 2026-07-03 (BMA 2026 / IBC / festival-cruise lineups)
Candice Ivory	BMA 2026 2x nominee (Soul Blues Female + Instrumentalist–Vocals)	Avant Soul / Blues / Jazz (vocalist)	https://candiceivory.com	https://candiceivory.bandcamp.com	Memphis-raised, St. Louis-based 'Queen of Avant Soul'; Grammy-nominated; great-uncle Will Roy Sanders (Fieldstones); Memphis Minnie tribute produced by Charlie Hunter (Little Village/Nola Blue); teaches voice at WashU. Female — hat eligible.	US + Europe/S.America tours behind Levee/New Southern Vintage	New Southern Vintage (2024/25, w/ Jimmy 'Duck' Holmes); When the Levee Breaks reissue (May 2025)	active	Quarterly research 2026-07-03 (BMA 2026 / IBC / festival-cruise lineups)
Doug MacLeod	BMA 2026 Acoustic Album WINNER (Between Somewhere and Goodbye); 2x in lastfm graph (via A.Y. Hart, Eric Bibb)	Acoustic Blues / Storyteller	https://www.doug-macleod.com	—	8x BMA winner, 29 albums; Memphis-based since 2019; sideman history w/ George 'Harmonica' Smith, Big Joe Turner, Big Mama Thornton; songs covered by Albert King, Albert Collins, Eva Cassidy. Solo acoustic storytelling — intimate-room natural (Birchmere/listening-room shaped).	Constant US touring (solo acoustic) + UK/EU	Between Somewhere and Goodbye (2025, Reference Recordings — 2026 BMA winner)	active	Quarterly research 2026-07-03 (BMA 2026 / IBC / festival-cruise lineups)
John Primer	BMA 2026 Traditional Blues Male WINNER; LRBC #45	Traditional Chicago Blues	https://www.johnprimerblues.com	—	Camden MS-born, Chicago legend; bandleader/guitarist for Muddy Waters, Willie Dixon, Magic Slim; Blues Hall of Fame 2023; 3x Grammy nominee; ~100 album credits; co-creator of the 'Chicago lump' rhythm. The last of the direct Muddy lineage still touring hard.	Heavy US touring incl. Southeast + festivals; 80+ y.o. — catch soon	Grown in Mississippi (2025); Hard Times (new, on sale via site)	active	Quarterly research 2026-07-03 (BMA 2026 / IBC / festival-cruise lineups)
Sunny War	lastfm graph 3x (via Muireann Bradley, Rev. Peyton's Big Damn Band, Valerie June); BIT + Seated follows active	Folk-Punk / Fingerstyle Blues	https://www.sunnywar.com	https://sunnywar.bandcamp.com	Nashville-born Sydney Ward; fingerstyle guitar + banjo, punk roots (Crass devotee). Toured w/ Bonnie Raitt, Mitski, Valerie June. Armageddon = first full-band electric record (Andrija Tokic prod.; guests Valerie June, John Doe, Steve Ignorant, Kyshona). Female — hat eligible.	US + EU; EU dates Aug 2026, US Midwest Sep 2026 per BIT	Armageddon in a Summer Dress (Feb 2025, New West)	active	Follow audit 2026-07-03 (Seated/BIT follows vs research files)
Caitlin Krisko & The Broadcast	FloydFest 2026 Buffalo Mountain Jam host + Rooster Walk 16 (VA); 2026 UK Blues Awards Best International Artist nominee; BIT + Seated follows active	Roots Rock / Blues-Soul (female-fronted)	https://www.caitlinkriskoandthebroadcast.com	https://caitlinkriskoandthebroadcast.bandcamp.com	Asheville NC (Detroit-born Krisko). Rolling Stone: 'best-kept vocal secret of the Southeast.' Support slots for Mavis Staples, Marcus King, Blackberry Smoke, Samantha Fish, Robert Randolph, TTB; collaborations w/ TTB members. Triangle IBC qualifier Nov 2025 (did not advance — other signals outrank). Female — hat eligible.	US + UK; Duane Betts album-release tour support from Aug 5 2026 (Lincoln Theatre — verify which city)	Heirloom (debut full-length, early 2026; Keepsake EP Dec 2025 UK-only)	active	Follow audit 2026-07-03 (Seated/BIT follows vs research files)
St. Paul & The Broken Bones	Strongest horns-pattern match in 2026-07 lastfm graph run; Seated follow active; Capital One Arena DC Oct 13 2026 (arena anomaly — likely support slot)	Southern Soul / R&B (8-piece w/ 3-horn section)	https://stpaulandthebrokenbones.com	—	Birmingham AL 8-piece since 2011; Paul Janeway vocals. Opened for the Rolling Stones 2015. Self-titled 6th LP cut at FAME Studios, Eg White prod., own Oasis Pizza label; 'Sushi and Coca-Cola' hit #1 AAA airplay. Venue caution: theaters/amphitheaters — small-room dates rare.	Heavy US 2026: spring theater tour incl. DC, summer Trombone Shorty co-bills, fall clubs	St. Paul & The Broken Bones (2025-10-10, Oasis Pizza Records)	active	Follow audit 2026-07-03 (Seated/BIT follows vs research files)
